Round,Heat,Sail Number,Skipper Name,Club,Observer
Q7,Heat 1,69,Bruce Benoit,Illawarra Radio Yacht Club,
Q7,Heat 1,35,John Levy,Nelson Radio Yacht Squadron,
Q7,Heat 1,137,Paul Bergamini,Gladstone Radio Control Yacht Club,
Q7,Heat 1,43,Jimmy Mee,Eagleby Radio Yacht Club,
Q7,Heat 1,50,Grant Hudson,Redlands Radio Sailing Club,
Q7,Heat 1,181,Gary Mccarthy,Wynnum Manly Radio Model Yacht Club,
Q7,Heat 1,67,Garry Roberts,North Shore Radio Yacht Squadron,
Q7,Heat 1,72,Doug Allen,Sunshine Coast Radio Sailing Club,
Q7,Heat 2,11,Wayne Keavy,Kogarah Bay Radio Yacht Club,
Q7,Heat 2,02,Lindsay Walker,Kogarah Bay Radio Yacht Club,
Q7,Heat 2,91,Peter Sherwood,Eagleby Radio Yacht Club,
Q7,Heat 2,141,Michael Bourke,North Brisbane Radio Yacht Club,
Q7,Heat 2,168,Lester Pearson,Illawarra Radio Yacht Club,
Q7,Heat 2,189,Graham Payn,Lake Macquarie Radio Yacht Club,
Q7,Heat 2,66,Roger Paul,Champion Lakes,
Q7,Heat 2,09,Daniel Bergan,Paradise Radio Yacht Club,
Q7,Heat 2,161,Andrew R Wilson,Wynnum Manly Radio Model Yacht Club,
Q7,Heat 2,34,Aaron Farrar,Gladstone Radio Control Yacht Club,
Q7,Heat 2,48,Paul Jones,Lake Macquarie Radio Yacht Club,
Q7,Heat 2,73,Will Thomson,Wynnum Manly Radio Model Yacht Club,
Q7,Heat 2,58,Bob Senior,North Shore Radio Yacht Squadron,
Q7,Heat 2,99,John Hudson,Wynnum Manly Radio Model Yacht Club,
Q7,Heat 2,24,Chris Woods,Champion Lakes,
Q7,Heat 2,71,Sean Wallis,Champion Lakes,
Q7,Heat 3,07,Bruce Deane,Eagleby Radio Yacht Club,
Q7,Heat 3,78,Brent Cowan,Pegasus Radio Sailing Club,
Q7,Heat 3,135,Graham Cowling,Paradise Radio Yacht Club,
Q7,Heat 3,39,Mark Wilson,Lake Macquarie Radio Yacht Club,
Q7,Heat 3,62,Trevor Shoebridge,North Shore Radio Yacht Squadron,
Q7,Heat 3,187,Andrew C Wilson,Eagleby Radio Yacht Club,
Q7,Heat 3,00,Andrew Holly,NSW Northern Mariners,
Q7,Heat 3,81,Graham Clough,North Shore Radio Yacht Squadron,
Q7,Heat 3,133,Peter Mccully,North Shore Radio Yacht Squadron,
Q7,Heat 3,36,Andrew Crocker,Albert Park Model Yacht Club,
Q7,Heat 3,37,Ian Gordon,Springfield Lakes Radio Yacht Club,
Q7,Heat 3,46,Mark Beneke,Fraser Coast Radio Yacht Club,
Q7,Heat 3,40,Garth Halton,North Brisbane Radio Yacht Club,
Q7,Heat 3,10,Murray Walker,Springfield Lakes Radio Yacht Club,
Q7,Heat 3,158,Simon Kellett,Sunshine Coast Radio Sailing Club,
Q7,Heat 3,41,Robert Mews,Champion Lakes,
Q8,Heat 1,65,Vince Zweers,Illawarra Radio Yacht Club,
Q8,Heat 1,07,Bruce Deane,Eagleby Radio Yacht Club,
Q8,Heat 1,73,Will Thomson,Wynnum Manly Radio Model Yacht Club,
Q8,Heat 1,78,Brent Cowan,Pegasus Radio Sailing Club,
Q8,Heat 1,99,John Hudson,Wynnum Manly Radio Model Yacht Club,
Q8,Heat 1,168,Lester Pearson,Illawarra Radio Yacht Club,
Q8,Heat 1,158,Simon Kellett,Sunshine Coast Radio Sailing Club,
Q8,Heat 1,91,Peter Sherwood,Eagleby Radio Yacht Club,
Q8,Heat 1,60,Glen Fitzgerald,North Brisbane Radio Yacht Club,
Q8,Heat 1,271,Ben Thorburn,Gladstone Radio Control Yacht Club,
